Company Name, Email, Tel, Fax, Website
3D-CORE GmbH & Co. KG, info@3d-core.com, +49(0)5221/93639 0, +49(0)5221/93639 1, http://www.3D-CORE.com
3M Deutschland GmbH, specialmarkets@mmm.com, 02131 / 14 - 2265, 02131 / 14 3857, http://www.3M.de/AdMD
AB-Tec GmbH & Co. KG, NaN, +49 (0) 2371 219 5520, Nan, http://www.ab-tec.com
Abl Sursum, NaN, +49(9123)1880, +49(9123)188 115, http://www.abl-sursum.com
AGRODUR, NaN, +49(3444)132317, +49(3444)132332, http://www.agrodur.de
Aliancys AG, inquiry.world@aliancys.com, +41 (0)52 644 12 12, Nan, http://aliancys.com/en/home/
Allnex Austria GmbH, NaN, +43()503990, +43(316)344249, NaN
AMAC GmbH, amac@effing-aachen.de, +49(0)241-912 9022, +49(0)241-912 9021, http://www.amacgmbh.de
Amiblu Holding GmbH, info@amiblu.com, +43 463482424, +43 463 48 2121, http://www.amiblu.com
ARKEMA GmbH, virginia.bozsak@arkema.com, +33 (0) 178662350 , +33 (0) 178662396 , http://www.arkema.com/en/ 
ASHLAND Technologies GmbH, sdinger@ashland.com, +49 (0) 7851 99478 20, +49 (0) 7851 99478 30, http://www.derakane.com
AZL Aachen GmbH, info@azl-aachen-gmbh.de, +49 (0) 241 8027 105, +49 (0) 241 80624 505, http://www.azl-aachen-gmbh.de
BAM, NaN, +49(30)81041610, +49(30)81041617, NaN
BASF Polyurethanes GmbH, NaN, +49(5443)122869, +49(5443)122932, http://www.pu.basf.de
BASF SE, Thomas.Birk@basf.com, +49(621)6049229, +49(621)6092777, http://www.basf.com
Baum Management Competence, info@baum-management-competence.de, +49 (0) 228 / 931 986 48, +49 (0) 228 / 931 986 49, http://www.baum-management-competence.de
Behncke GmbH, info@behncke.com, +49(0)89456917-0, Nan, http://www.behncke.com
Berufsgenossenschaft, info@bgrci.de, +49(6221)5108-24820, +49(6221)5108-24898, http://www.bgrci.de
BiinC, info@biinc.nl, +31 612 89 2562, Nan, http://www.biinc.nl
BMW AG, NaN, +49(89)38248298, +49(89)38243690, http://www.bmw.de
Bond-Laminates GmbH, info@bond-laminates.de, +49(2961)96628-0, +49(2961)96628-500, http://www.bond-laminates.de
Boots- u. Schiffbauer-Verband e. V., NaN, +49(40)30706790, +49(40)344227, http://www.DBSV.de
Borealis Polyolefine GmbH, NaN, +43 732 6981 0, Nan, http://www.borealisgroup.com
Breyer GmbH Maschinenfabrik, info@breyer-extr.com, +49 (0) 7731/920-0, Nan, http://www.breyer-extr.com
Brightlands Materials Center, NaN, NaN, NaN, NaN
Brodersen K. U., NaN, +49(2174)41849, +49(2174)892766, NaN
Bundesverband Bausysteme e.V., NaN, +49(261)9145350, +49(261)9145351, http://www.bv-bausysteme.de
Butzbach GmbH, NaN, +49(7343)81186, +49(7343)81124, http://www.butzbach.com
BÜFA Composite Systems GmbH & Co. KG, compositesystems@buefa.de, +49 4402 975-0, +49 4402 975-300, http://www.buefacompositesystems.de
BÜFA Thermoplastic Composites GmbH & Co KG, thermoplasticcomposites@buefa.de, +49 (0) 441 9317905, Nan, http://www.thermoplasticcomposites.de
BYK-Chemie GmbH, NaN, +49(281)670 -0, +49(281)65735, http://www.byk.com
C. F. Maier Europlast GmbH & Co KG, info-ep@c-f-maier.de, +49 7328 81-07, +49 7328 81 286, http://www.c-f-maier.de
CEMO GmbH, NaN, +49(7151)9636 23, +49(7151)9636 99, http://www.cemo.de
CFK - Valley Stade e.V., NaN, +49(551)4960121, +49(551)4960149, http://www.cfk-valley.com
CG TEC GmbH, info@cg-tec.de, +49 (0) 9175 90807-0, +49 (0) 9175 90807-20, http://www.cg-tec.de
Chem-Trend (Deutschland) GmbH, maisach@chemtrend.de, +49-8142-417-1196, +49-8142-15884, http://www.chemtrend.com/de
Chemiplastica Spa, NaN, +39(2)3342101, +39(2)33400793, NaN
Christen & Laudon GmbH, NaN, +49 (0) 6563 / 51200, +49 (0) 6563 / 51245, http://www.christen-laudon.de
CIRCOMP GmbH, funck@circomp.de, +49(6301)/7152100, Nan, http://www.circomp.de
Coatings Science Lab eK, contact@coatings-science-lab.de, 0202/94600-850, 0202/94600-851, http://www.coatings-science-lab.de
COIA - Composites In Action - GmbH, NaN, +49 (0) 6021 / 3487-0, +49 (0) 6021 / 3487-10, http://www.coia.de
Consulting 4 Carbon, info@consulting4carbon.de, +49 8138-992125, +49 8138-992126, http://www.consulting4carbon.de
CORDENKA GmbH & Co. KG, info@cordenka.com, +49 (0) 6022 81-3266, +49 (0) 6022 81-3260, http://www.cordenka.com
Covestro Deutschland  AG, NaN, 0214 6009 5582, Nan, NaN
CTS, info@ctscom.de, +49 4152 888 5-0, +49 4152 888 555, http://www.ctscom.de
Daimler AG, thomas.schuh@daimler.com, +49(70 31) 90-44 270, +49(70 31) 90-44 272, http://www.daimler.com
Dechema Gesellschaft für, internetinfo@dechema.de, +49(69)75640, +49(69)7564201, http://www.dechema.de
Deutsches Zentrum für Luft- und Raumfahrt e. V., info-fa@dlr.de, +49 (0) 531 295 2301, +49 (0) 531 295 2875, http://www.dlr.de/fa
Dieffenbacher GmbH , NaN, +49(7262)65 277, +49(7262)65396, http://www.dieffenbacher.de
Dr. Büser Management Akademie , tobias.bueser@bueser-akademie.de, +49(0)611/34171973, Nan, http://bueser-akademie.de
DSM, marc.huisman@dsm.com, NaN, NaN, http://www.dsm.com
DST Dräxlmaier Systemtechnik GmbH, NaN, 08741/47-3927, 08741/47-5954, NaN
DuPont International Operations Sarl , NaN, NaN, NaN, NaN
EASICOMP GmbH, NaN, +49 (0)603-99983-21, +49 (0)603-99983-10, http://www.easicomp.de/
ECTA, NaN, +49(30)80993940, +49(30)80993910, http://www.ecta-gmbh.de
Ehrentraut Dr. Peter, NaN, +49(731)83818, +49(731)83818, NaN
Elektro-Bauelemente GmbH, info@ebg-electro.de, +49 (2306) 923 40, +49 (2306) 923 690, http://www.ebg-electro.de
ELG Carbon Fibre Ltd., NaN, +44 1902-406010, Nan, http://www.elgcf.com
ELSIC GmbH, NaN, +49(2166)956710, +49(2166)956755, http://www.elsic.de
Emil Frei GmbH & Co. KG, info@freilacke.de, +49(7707)151-0, +49(7707)151-238, http://www.freilacke.de
ERCROS S.A., NaN, +34 93 580 33 53, Nan, http://ercros.es
Ernst Kühne Kunststoffwerk, info@ernst-kuehne.de, +49(7751)91110, +49(7751)911130, http://www.ernst-kuehne.de
Evonik Industries AG, martin.risthaus@evonik.com, 0049 2365 49 4356, 0049 2365 49 804356, http://www.evonik.com
Fachhochschule Münster, NaN, +49(2551)962320, +49(2551)962478, NaN
Fachhochschule Nordwestschweiz, NaN, +41(0) 56/ 462 4590, +41(0) 56/ 462 4550, http://www.fhnw.ch
Fachhochschule Rosenheim, NaN, +49(8031)805609, +49(8031)805603, NaN
Faserinstitut Bremen e.V., NaN, +49(421)21858702, +49(421)21858710, http://www.faserinstitut.de
Faurecia Autositze GmbH, NaN, +49(5721)702-244, Nan, http://www.faurecia.com
Fiberlane GmbH & Co. KG, NaN, 02575 - 955 87 16, Nan, http://www.fiberlane.de
Fiberline Composites A/S, fiberline@fiberline.com, +45( )70137713, +45( )70137714, http://www.fiberline.com
Finke Jürgen, NaN, +49(0241)78191, Nan, NaN
FKUR Kunststoff GmbH, NaN, +49(2154)92510, +49(2154)925151, http://www.fkur.de
FNR, NaN, +49(3843)6930101, +49(3843)/6930102, http://www.fnr.de
Forschungsgesellschaft Kunststoffe e.V., NaN, +49 (6151) 16 300 60, +49 (3212) 1188 563, http://www.forschungsgesellschaft-kunststoffe.de
Fraunhofer Institut für Fertigungstechnik, gss@ifam.fraunhofer.de, +49 (0) 421/2246437, +49(0) 421/2246430, http://www.kunststoff-in-bremen.de
Fraunhofer Institut für Produktionstechnologie IPT, NaN, +49 (0) 241 / 8904-150, Nan, NaN
Fraunhofer Institut für Windenergie, NaN, +49(0)471 14290 383, Nan, NaN
Fraunhofer Institut LBF, NaN, +49(6151)705277, +49(6151)705214, NaN
Fraunhofer-Einrichtung für Gießerei- Composite- und Verarbeitungstechnik IGCV, info@igcv.fraunhofer.de, +49(0)821/90678249, Nan, http://www.igcv.fraunhofer.de
